Row Names,image_auroc,pixel_auroc
mvtec_bottle,1.0,0.9855796151032077
mvtec_cable,0.9945812807881773,0.98432340932967
mvtec_capsule,0.958498023715415,0.9898920602996254
mvtec_carpet,0.990632318501171,0.9922684303099155
mvtec_grid,0.967741935483871,0.9890018340104593
mvtec_hazelnut,1.0,0.9913855078725694
mvtec_leather,1.0,0.9930874314114685
mvtec_metal_nut,1.0,0.8701896618691869
mvtec_pill,0.9505016722408026,0.9771965050622634
mvtec_screw,0.9506588169329969,0.9940153436223933
mvtec_tile,0.9895678092399404,0.9594312239751335
mvtec_toothbrush,0.9930555555555555,0.9876228461806565
mvtec_transistor,0.9824561403508772,0.9022002345847472
mvtec_wood,0.9912280701754386,0.9652036141902859
mvtec_zipper,0.9743421052631579,0.9884010245207684
Mean,0.9828842485498268,0.9713199161561568
